Date : 2024-11-09 15:32:43
Directory : /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib
Total : 173 files,  8301 codes, 193 comments, 681 blanks, all 9175 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| features/homeBody/ads/data/models                                                                                                                                                             |          1 |         39 |          0 |         12 |         51 |
| features/homeBody/ads/data/repository                                                                                                                                                         |          2 |         35 |          0 |          2 |         37 |
| features/homeBody/ads/presentation                                                                                                                                                            |          6 |        223 |          0 |         12 |        235 |
| features/homeBody/ads/presentation/manager                                                                                                                                                    |          3 |         43 |          0 |          4 |         47 |
| features/homeBody/ads/presentation/manager/ads                                                                                                                                                |          3 |         43 |          0 |          4 |         47 |
| features/homeBody/ads/presentation/views                                                                                                                                                      |          3 |        180 |          0 |          8 |        188 |
| features/homeBody/ads/presentation/views (Files)                                                                                                                                              |          1 |         29 |          0 |          2 |         31 |
| features/homeBody/ads/presentation/views/components                                                                                                                                           |          2 |        151 |          0 |          6 |        157 |
| features/homeBody/companiesGuide                                                                                                                                                              |         19 |      1,070 |         17 |         77 |      1,164 |
| features/homeBody/companiesGuide/data                                                                                                                                                         |          3 |         93 |          0 |         14 |        107 |
| features/homeBody/companiesGuide/data/models                                                                                                                                                  |          1 |         58 |          0 |         12 |         70 |
| features/homeBody/companiesGuide/data/repository                                                                                                                                              |          2 |         35 |          0 |          2 |         37 |
| features/homeBody/companiesGuide/presentation                                                                                                                                                 |         16 |        977 |         17 |         63 |      1,057 |
| features/homeBody/companiesGuide/presentation/manager                                                                                                                                         |          6 |         96 |          0 |         16 |        112 |
| features/homeBody/companiesGuide/presentation/manager/companiesGuide                                                                                                                          |          3 |         46 |          0 |          5 |         51 |
| features/homeBody/companiesGuide/presentation/manager/filters                                                                                                                                 |          3 |         50 |          0 |         11 |         61 |
| features/homeBody/companiesGuide/presentation/views                                                                                                                                           |         10 |        881 |         17 |         47 |        945 |
| features/homeBody/companiesGuide/presentation/views (Files)                                                                                                                                   |          1 |         15 |          0 |          2 |         17 |
| features/homeBody/companiesGuide/presentation/views/components                                                                                                                                |          9 |        866 |         17 |         45 |        928 |
| features/homeBody/companiesGuide/presentation/views/components (Files)                                                                                                                        |          3 |        264 |         14 |          9 |        287 |
| features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter                                                                                                          |          6 |        602 |          3 |         36 |        641 |
| features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter (Files)                                                                                                  |          3 |        192 |          0 |         11 |        203 |
| features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/dropdowns                                                                                                |          3 |        410 |          3 |         25 |        438 |
| features/homeBody/fairs                                                                                                                                                                       |         19 |      1,088 |          3 |         80 |      1,171 |
| features/homeBody/fairs/data                                                                                                                                                                  |          3 |         90 |          0 |         15 |        105 |
| features/homeBody/fairs/data/models                                                                                                                                                           |          1 |         55 |          0 |         12 |         67 |
| features/homeBody/fairs/data/repository                                                                                                                                                       |          2 |         35 |          0 |          3 |         38 |
| features/homeBody/fairs/presentation                                                                                                                                                          |         16 |        998 |          3 |         65 |      1,066 |
| features/homeBody/fairs/presentation/manager                                                                                                                                                  |          6 |         96 |          0 |         16 |        112 |
| features/homeBody/fairs/presentation/manager/fairs                                                                                                                                            |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/fairs/presentation/manager/filters                                                                                                                                          |          3 |         50 |          0 |         12 |         62 |
| features/homeBody/fairs/presentation/views                                                                                                                                                    |         10 |        902 |          3 |         49 |        954 |
| features/homeBody/fairs/presentation/views (Files)                                                                                                                                            |          1 |         16 |          0 |          2 |         18 |
| features/homeBody/fairs/presentation/views/components                                                                                                                                         |          9 |        886 |          3 |         47 |        936 |
| features/homeBody/fairs/presentation/views/components (Files)                                                                                                                                 |          3 |        285 |          1 |         10 |        296 |
| features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter                                                                                                                   |          6 |        601 |          2 |         37 |        640 |
| features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter (Files)                                                                                                           |          3 |        192 |          0 |         10 |        202 |
| features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/dropdowns                                                                                                         |          3 |        409 |          2 |         27 |        438 |
| features/homeBody/home                                                                                                                                                                        |         17 |        757 |          2 |         43 |        802 |
| features/homeBody/home/data                                                                                                                                                                   |          4 |        123 |          1 |         18 |        142 |
| features/homeBody/home/data/models                                                                                                                                                            |          2 |         88 |          0 |         13 |        101 |
| features/homeBody/home/data/repository                                                                                                                                                        |          2 |         35 |          1 |          5 |         41 |
| features/homeBody/home/presentation                                                                                                                                                           |         13 |        634 |          1 |         25 |        660 |
| features/homeBody/home/presentation/manager                                                                                                                                                   |          3 |         33 |          0 |          4 |         37 |
| features/homeBody/home/presentation/manager/home                                                                                                                                              |          3 |         33 |          0 |          4 |         37 |
| features/homeBody/home/presentation/views                                                                                                                                                     |         10 |        601 |          1 |         21 |        623 |
| features/homeBody/home/presentation/views (Files)                                                                                                                                             |          1 |         74 |          0 |          5 |         79 |
| features/homeBody/home/presentation/views/components                                                                                                                                          |          9 |        527 |          1 |         16 |        544 |
| features/homeBody/news                                                                                                                                                                        |         11 |        492 |          4 |         37 |        533 |
| features/homeBody/news/data                                                                                                                                                                   |          3 |         87 |          0 |         15 |        102 |
| features/homeBody/news/data/models                                                                                                                                                            |          1 |         52 |          0 |         12 |         64 |
| features/homeBody/news/data/repository                                                                                                                                                        |          2 |         35 |          0 |          3 |         38 |
| features/homeBody/news/presentation                                                                                                                                                           |          8 |        405 |          4 |         22 |        431 |
| features/homeBody/news/presentation/manager                                                                                                                                                   |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/news/presentation/manager/news                                                                                                                                              |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/news/presentation/views                                                                                                                                                     |          5 |        359 |          4 |         18 |        381 |
| features/homeBody/news/presentation/views (Files)                                                                                                                                             |          1 |         27 |          0 |          2 |         29 |
| features/homeBody/news/presentation/views/components                                                                                                                                          |          4 |        332 |          4 |         16 |        352 |
| features/homeBody/participatingCompanies                                                                                                                                                      |         10 |        417 |          0 |         27 |        444 |
| features/homeBody/participatingCompanies/data                                                                                                                                                 |          3 |         96 |          0 |         15 |        111 |
| features/homeBody/participatingCompanies/data/models                                                                                                                                          |          1 |         61 |          0 |         12 |         73 |
| features/homeBody/participatingCompanies/data/repository                                                                                                                                      |          2 |         35 |          0 |          3 |         38 |
| features/homeBody/participatingCompanies/presentation                                                                                                                                         |          7 |        321 |          0 |         12 |        333 |
| features/homeBody/participatingCompanies/presentation/manager                                                                                                                                 |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/participatingCompanies/presentation/manager/companies                                                                                                                       |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/participatingCompanies/presentation/views                                                                                                                                   |          4 |        275 |          0 |          8 |        283 |
| features/homeBody/participatingCompanies/presentation/views (Files)                                                                                                                           |          1 |         30 |          0 |          2 |         32 |
| features/homeBody/participatingCompanies/presentation/views/components                                                                                                                        |          3 |        245 |          0 |          6 |        251 |
| features/homeBody/participatingCountries                                                                                                                                                      |          9 |        226 |          0 |         26 |        252 |
| features/homeBody/participatingCountries/data                                                                                                                                                 |          3 |         71 |          0 |         14 |         85 |
| features/homeBody/participatingCountries/data/models                                                                                                                                          |          1 |         38 |          0 |         12 |         50 |
| features/homeBody/participatingCountries/data/repository                                                                                                                                      |          2 |         33 |          0 |          2 |         35 |
| features/homeBody/participatingCountries/presentation                                                                                                                                         |          6 |        155 |          0 |         12 |        167 |
| features/homeBody/participatingCountries/presentation/manager                                                                                                                                 |          3 |         36 |          0 |          4 |         40 |
| features/homeBody/participatingCountries/presentation/manager/countries                                                                                                                       |          3 |         36 |          0 |          4 |         40 |
| features/homeBody/participatingCountries/presentation/views                                                                                                                                   |          3 |        119 |          0 |          8 |        127 |
| features/homeBody/participatingCountries/presentation/views (Files)                                                                                                                           |          1 |         27 |          0 |          2 |         29 |
| features/homeBody/participatingCountries/presentation/views/components                                                                                                                        |          2 |         92 |          0 |          6 |         98 |
| features/homeBody/sponsoringCompanies                                                                                                                                                         |         12 |        401 |          0 |         40 |        441 |
| features/homeBody/sponsoringCompanies/data                                                                                                                                                    |          3 |         68 |          0 |         14 |         82 |
| features/homeBody/sponsoringCompanies/data/models                                                                                                                                             |          1 |         39 |          0 |         11 |         50 |
| features/homeBody/sponsoringCompanies/data/repository                                                                                                                                         |          2 |         29 |          0 |          3 |         32 |
| features/homeBody/sponsoringCompanies/presentation                                                                                                                                            |          9 |        333 |          0 |         26 |        359 |
| features/homeBody/sponsoringCompanies/presentation/manager                                                                                                                                    |          3 |         33 |          0 |          4 |         37 |
| features/homeBody/sponsoringCompanies/presentation/manager/sponsors                                                                                                                           |          3 |         33 |          0 |          4 |         37 |
| features/homeBody/sponsoringCompanies/presentation/views                                                                                                                                      |          6 |        300 |          0 |         22 |        322 |
| features/homeBody/sponsoringCompanies/presentation/views (Files)                                                                                                                              |          1 |         24 |          0 |          2 |         26 |
| features/homeBody/sponsoringCompanies/presentation/views/components                                                                                                                           |          5 |        276 |          0 |         20 |        296 |
| features/homeBody/statistics                                                                                                                                                                  |          5 |        272 |          5 |         20 |        297 |
| features/homeBody/statistics/presentation                                                                                                                                                     |          5 |        272 |          5 |         20 |        297 |
| features/homeBody/statistics/presentation/views                                                                                                                                               |          5 |        272 |          5 |         20 |        297 |
| features/homeBody/statistics/presentation/views (Files)                                                                                                                                       |          1 |         21 |          0 |          3 |         24 |
| features/homeBody/statistics/presentation/views/components                                                                                                                                    |          4 |        251 |          5 |         17 |        273 |
| features/homeBody/videosLibrary                                                                                                                                                               |          9 |        379 |          1 |         30 |        410 |
| features/homeBody/videosLibrary/data                                                                                                                                                          |          3 |         84 |          0 |         17 |        101 |
| features/homeBody/videosLibrary/data/models                                                                                                                                                   |          1 |         49 |          0 |         12 |         61 |
| features/homeBody/videosLibrary/data/repository                                                                                                                                               |          2 |         35 |          0 |          5 |         40 |
| features/homeBody/videosLibrary/presentation                                                                                                                                                  |          6 |        295 |          1 |         13 |        309 |
| features/homeBody/videosLibrary/presentation/manager                                                                                                                                          |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/videosLibrary/presentation/manager/videos                                                                                                                                   |          3 |         46 |          0 |          4 |         50 |
| features/homeBody/videosLibrary/presentation/views                                                                                                                                            |          3 |        249 |          1 |          9 |        259 |
| features/homeBody/videosLibrary/presentation/views (Files)                                                                                                                                    |          1 |         30 |          0 |          2 |         32 |
| features/homeBody/videosLibrary/presentation/views/components                                                                                                                                 |          2 |        219 |          1 |          7 |        227 |
| features/splash                                                                                                                                                                               |          2 |         98 |          2 |         11 |        111 |
| features/splash/presentation                                                                                                                                                                  |          2 |         98 |          2 |         11 |        111 |
| features/splash/presentation/views                                                                                                                                                            |          2 |         98 |          2 |         11 |        111 |
| features/splash/presentation/views (Files)                                                                                                                                                    |          1 |         13 |          0 |          3 |         16 |
| features/splash/presentation/views/widgets                                                                                                                                                    |          1 |         85 |          2 |          8 |         95 |
| generated                                                                                                                                                                                     |          4 |        943 |        116 |        117 |      1,176 |
| generated (Files)                                                                                                                                                                             |          1 |        681 |         86 |         93 |        860 |
| generated/intl                                                                                                                                                                                |          3 |        262 |         30 |         24 |        316 |
| l10n                                                                                                                                                                                          |          2 |        160 |          0 |          0 |        160 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/blocObserver.dart                                                                                                 | Dart     |          0 |         28 |          5 |         33 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/constrainedSliverToBoxAdapter.dart                                                                                | Dart     |         17 |          0 |          1 |         18 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/constrainedSliverWidth.dart                                                                                       | Dart     |         21 |          0 |          3 |         24 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customCachedImage.dart                                                                                            | Dart     |         20 |          0 |          2 |         22 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customEmptyWidget.dart                                                                                            | Dart     |         20 |          0 |          2 |         22 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customErrorWidget.dart                                                                                            | Dart     |         20 |          0 |          1 |         21 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customFilterButton.dart                                                                                           | Dart     |         32 |          0 |          1 |         33 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customLoadingIndicator.dart                                                                                       | Dart     |         13 |          0 |          2 |         15 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customLoadingWidget.dart                                                                                          | Dart     |         16 |          0 |          1 |         17 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customSearchBar.dart                                                                                              | Dart     |         54 |          0 |          2 |         56 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customTextField.dart                                                                                              | Dart     |         32 |          0 |          1 |         33 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/custumButton.dart                                                                                                 | Dart     |         29 |          0 |          1 |         30 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/sectionTitle.dart                                                                                                 | Dart     |         39 |          0 |          2 |         41 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/sectionTitleButton.dart                                                                                           | Dart     |         38 |          0 |          1 |         39 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/youtubeButton.dart                                                                                                | Dart     |         28 |          0 |          4 |         32 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/errors/failures.dart                                                                                                         | Dart     |         45 |          0 |          5 |         50 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/apiService.dart                                                                                                    | Dart     |         26 |          0 |          2 |         28 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appAssets.dart                                                                                                     | Dart     |         29 |          0 |          0 |         29 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appCache.dart                                                                                                      | Dart     |         26 |          0 |          6 |         32 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appRouter.dart                                                                                                     | Dart     |        150 |          0 |          4 |        154 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appStyles.dart                                                                                                     | Dart     |        113 |          0 |          7 |        120 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/constants.dart                                                                                                     | Dart     |          8 |          0 |          3 |         11 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/pagesFilters.dart                                                                                                  | Dart     |          7 |          0 |          0 |          7 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/pagesPagination.dart                                                                                               | Dart     |        109 |          0 |          8 |        117 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/providers.dart                                                                                                     | Dart     |         47 |          1 |          2 |         50 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/serviceLocator.dart                                                                                                | Dart     |         47 |          0 |          3 |         50 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/urlLauncher.dart                                                                                                   | Dart     |          9 |          0 |          1 |         10 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/data/models/navBarModel.dart                                                                                        | Dart     |         89 |          4 |          4 |         97 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/managers/language/languageCubit.dart                                                                   | Dart     |         24 |          2 |          4 |         30 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/managers/language/languageStates.dart                                                                  | Dart     |          5 |          0 |          3 |          8 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/homeView.dart                                                                                    | Dart     |         15 |          0 |          2 |         17 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeAppBar.dart                                                                          | Dart     |        100 |          0 |          8 |        108 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeAppBarImage.dart                                                                     | Dart     |         30 |          1 |          4 |         35 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeNavBar.dart                                                                          | Dart     |         97 |          0 |          7 |        104 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeViewBody.dart                                                                        | Dart     |         60 |          6 |          8 |         74 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/languageDropdownButton.dart                                                              | Dart     |         44 |          0 |          7 |         51 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/data/models/aboutUsModel.dart                                                                           | Dart     |         32 |          0 |         14 |         46 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/data/repository/aboutUsRepo.dart                                                                        | Dart     |          6 |          0 |          1 |          7 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/data/repository/aboutUsRepoImpl.dart                                                                    | Dart     |         23 |          0 |          2 |         25 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/manager/aboutUs/aboutUsBloc.dart                                                           | Dart     |         22 |          0 |          1 |         23 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/manager/aboutUs/aboutUsEvents.dart                                                         | Dart     |          2 |          0 |          0 |          2 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/manager/aboutUs/aboutUsStates.dart                                                         | Dart     |         12 |          0 |          2 |         14 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/views/aboutUsBody.dart                                                                     | Dart     |         52 |          0 |          4 |         56 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/views/components/aboutUsContext.dart                                                       | Dart     |         47 |          0 |          3 |         50 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/data/models/adsModel.dart                                                                                   | Dart     |         39 |          0 |         12 |         51 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/data/repository/adsRepo.dart                                                                                | Dart     |          9 |          0 |          1 |         10 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/data/repository/adsRepoImpl.dart                                                                            | Dart     |         26 |          0 |          1 |         27 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/manager/ads/adsBloc.dart                                                                       | Dart     |         23 |          0 |          1 |         24 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/manager/ads/adsEvents.dart                                                                     | Dart     |          7 |          0 |          0 |          7 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/manager/ads/adsStates.dart                                                                     | Dart     |         13 |          0 |          3 |         16 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/views/adsBody.dart                                                                             | Dart     |         29 |          0 |          2 |         31 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/views/components/adsItem.dart                                                                  | Dart     |         73 |          0 |          1 |         74 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/views/components/adsList.dart                                                                  | Dart     |         78 |          0 |          5 |         83 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/data/models/companiesGuideModel.dart                                                             | Dart     |         58 |          0 |         12 |         70 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/data/repository/coGuideRepo.dart                                                                 | Dart     |          9 |          0 |          1 |         10 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/data/repository/coGuideRepoImpl.dart                                                             | Dart     |         26 |          0 |          1 |         27 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/companiesGuide/coGuideBloc.dart                                             | Dart     |         26 |          0 |          1 |         27 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/companiesGuide/coGuideEvents.dart                                           | Dart     |          7 |          0 |          1 |          8 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/companiesGuide/coGuideStates.dart                                           | Dart     |         13 |          0 |          3 |         16 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/filters/coGuideFiltersBloc.dart                                             | Dart     |         42 |          0 |          4 |         46 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/filters/coGuideFiltersEvents.dart                                           | Dart     |          5 |          0 |          3 |          8 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/filters/coGuideFiltersStates.dart                                           | Dart     |          3 |          0 |          4 |          7 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/companiesGuideBody.dart                                                       | Dart     |         15 |          0 |          2 |         17 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/coGuideAboutItem.dart                                              | Dart     |         22 |          0 |          1 |         23 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/coGuideItem.dart                                                   | Dart     |        156 |         14 |          3 |        173 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/coGuideList.dart                                                   | Dart     |         86 |          0 |          5 |         91 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/coGuideCompleteSectionTitle.dart             | Dart     |         20 |          0 |          3 |         23 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/coGuideSearchAndFiltering.dart               | Dart     |        158 |          0 |          4 |        162 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/coGuideSectionTitle.dart                     | Dart     |         14 |          0 |          4 |         18 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/dropdowns/coGuideActivityDropDownButton.dart | Dart     |        144 |          1 |         10 |        155 |
| /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/dropdowns/coGuideSectionDropdownButton.dart  | Dart     |        122 |          1 |          7 |        130 |
